E 0 N 125
0.7692346550528415 0.7692346550528415 0.7692346550528415 0.013705855306817352
0.95308992296933204 0.7692346550528415 0.7692346550528415 0.0067845614043285209
0.046910077030668004 0.95308992296933204 0.7692346550528415 0.0033584385956714814
0.23076534494715845 0.95308992296933204 0.7692346550528415 0.0067845614043285209
0.5 0.95308992296933204 0.7692346550528415 0.008064
0.7692346550528415 0.95308992296933204 0.7692346550528415 0.0067845614043285209
0.95308992296933204 0.95308992296933204 0.7692346550528415 0.0033584385956714814
0.046910077030668004 0.046910077030668004 0.95308992296933204 0.0016624670525790817
0.23076534494715845 0.046910077030668004 0.95308992296933204 0.0033584385956714809
0.5 0.046910077030668004 0.95308992296933204 0.0039917759191060373
0.7692346550528415 0.046910077030668004 0.95308992296933204 0.0033584385956714809
0.95308992296933204 0.046910077030668004 0.95308992296933204 0.0016624670525790817
0.046910077030668004 0.23076534494715845 0.95308992296933204 0.0033584385956714809
0.23076534494715845 0.23076534494715845 0.95308992296933204 0.0067845614043285209
0.5 0.23076534494715845 0.95308992296933204 0.008064
0.7692346550528415 0.23076534494715845 0.95308992296933204 0.0067845614043285209
0.95308992296933204 0.23076534494715845 0.95308992296933204 0.0033584385956714809
0.046910077030668004 0.5 0.95308992296933204 0.0039917759191060373
0.23076534494715845 0.5 0.95308992296933204 0.008064
0.5 0.5 0.95308992296933204 0.0095847162586681547
0.7692346550528415 0.5 0.95308992296933204 0.008064
0.95308992296933204 0.5 0.95308992296933204 0.0039917759191060373
0.046910077030668004 0.7692346550528415 0.95308992296933204 0.0033584385956714809
0.23076534494715845 0.7692346550528415 0.95308992296933204 0.0067845614043285209
0.5 0.7692346550528415 0.95308992296933204 0.008064
0.7692346550528415 0.7692346550528415 0.95308992296933204 0.0067845614043285209
0.95308992296933204 0.7692346550528415 0.95308992296933204 0.0033584385956714809
0.046910077030668004 0.95308992296933204 0.95308992296933204 0.0016624670525790817
0.23076534494715845 0.95308992296933204 0.95308992296933204 0.0033584385956714809
0.5 0.95308992296933204 0.95308992296933204 0.0039917759191060373
0.7692346550528415 0.95308992296933204 0.95308992296933204 0.0033584385956714809
0.95308992296933204 0.95308992296933204 0.95308992296933204 0.0016624670525790817
